	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
48H-KNO3-R1	48H	87999.78	0	30697.8	102174.2	206355.7	232334.5	146246.1	4.79E+07	5861374	3384555	62880.64	782622.8	590472.6	172087.8	2575.535	5980.812	101220	83688.91	5861374	8933.699	69770.53	2162397	1279463	8806678	52940.2	0	5.22E+08	3740897	2.54E+07	1.02E+07	19775.36	83628.83	839506.3	800012.3	27303.53	1343604	2873379	5819536	26913.59	5608871	590472.6	4.62E+07	8.58E+08	243036.5	2160632	1131.476	6039679	14174.92	1.05E+07	24986.41	140201.3	21152.57	54110.7	69635.88	7656.267	13215.67	965.2766	2066.803	3156.416	32691.91	15520.57	1.58E+07	183134.2	6.55E+07	671653	338248	946723.1	411618.3	6.00E+07	6566150	12475.6	142473.6	4484524	478923	9432.291	1199445	2000221	1069227	48061.3	2104097	2.52E+07	69643.45	143894.4	2.06E+07	1.72E+07	1683675	768025.8	3249.589	4887021	2118251	5761949	5744.33	111203.3	769881.3	422448.3	79059.53	4097232	46006.1	1.85E+07	26371.35	179536.4	7146.775	26090.6	93338.77	731817.3	2248.819	332254.8	0	732473.3	8.79E+07	4.22E+07	4.22E+07	248752.9	131312.1	304245.7	8441278	9790.517	4504871	0.2044705	584556.6	1523213	149902.5	2009873	1645515	4540.874	1133.638	199205.8	125472.6	765794.4	3600822	117644	18896.79	6401.246	2072621	6.00E+07	0	295176.4	1840131	3007.935	1.21E+07	286665.4	2573242	4.79E+07	4636630	34598.82	4097232	765794.4	56663.06	619769.8	0	765575	1109677	995036.8	52986.79	2499686	2710.417	52302.66	8.58E+08	9361.192	177316	1426441	920511.9	4691498	1442018	2.54E+07	79059.53	115077.7	1071.96	17353.84	108914	73674.09	2546901	1009109	3.83E+07	1069227	691133.9	1458358
48H-KNO3-R2	48H	142532.6	6.71E+08	1095974	380779.3	2.15E+07	233011.6	3.52E+07	5.36E+07	3.01E+07	6450864	3982916	7.45E+07	1.37E+07	1073155	653365.4	195732.6	89613.16	1788650	3.01E+07	526814.4	1663676	6965345	1069727	9987316	1.08E+07	6.65E+08	6.72E+08	805657.6	1.73E+08	1.04E+07	297826	2569956	1304775	7.45E+07	1673876	249846.8	608266.2	8394809	491573	0	1.28E+07	432623.7	6.13E+08	262825.3	2633947	1891.968	4.49E+07	526309.2	4.25E+07	1.83E+07	955252.1	8456267	280043	1686634	2.05E+07	2182467	190670.9	332467	7345708	21079.45	1398818	28557.57	2.46E+07	6.80E+07	553702.1	178185.7	1076357	3657817	6.76E+07	4920165	5.46E+07	3150081	4326877	3868893	126095.1	547434.7	1344017	4.12E+07	2149412	4.52E+07	1.74E+07	2.25E+07	413239.1	3.57E+08	3.21E+07	2.89E+07	5.02E+07	3067595	1550343	4978024	5657058	29162.53	142074.1	1274808	271040.2	6160.621	5.40E+07	705239	2.14E+07	1.83E+07	4.32E+08	7378813	478514.8	178804.5	5.02E+07	166691.9	3.10E+08	1.28E+08	5.02E+07	2739652	4.52E+08	1.17E+09	20529.98	515922.4	619349.8	6.12E+07	142872.6	4372773	0	1337881	1756429	145584.9	1.22E+07	2691658	127577.1	1177931	241669.6	1750272	4.24E+09	1352858	991337	584565.5	1264002	1.71E+07	6.76E+07	18467.37	169807.8	1973664	2812060	3.05E+08	1.01E+07	9.23E+07	4978024	1574136	35739.82	5.38E+07	4.24E+09	440057.4	4316802	9.21E+07	1389074	623729.7	961129.9	2019090	3.73E+07	4347201	7378813	6.13E+08	1032287	236268.9	2519290	3444230	7054601	2519290	1.73E+08	71877.51	4496320	448916.8	0	2260086	4.54E+07	2595100	2.49E+07	9.21E+07	4.41E+07	1.17E+07	2368718
48H-KNO3-R3	48H	84523.13	0	579616.1	211636.6	3328750	16310.35	4618740	5.40E+07	2.32E+07	1013699	2831400	3.55E+07	7613385	599494.7	91652.86	34093.92	274501.2	836976	2.32E+07	428076.7	1253195	942329.5	888067.1	1.50E+07	4410721	0	0	1054585	1.31E+08	1764157	94559.27	3387011	714467.4	3.55E+07	442420.3	4568819	601617.3	5083577	242775.2	1588375	7613385	6.87E+08	4.52E+08	210123.8	1851673	59639.14	2769235	432578.2	4.68E+07	15348.76	417803.5	1602575	202793.7	3668936	7008296	622040.1	32355.75	132312.2	2387114	467177.1	886079.4	1.33E+07	1.33E+07	3.51E+07	779962.8	822272.4	19914.18	2622203	2.58E+07	6815638	11351.91	269262.3	3022168	3135674	94183.29	734007.8	0	1.42E+07	453137.7	3.45E+07	7918886	1.27E+07	137575.1	6.09E+08	2.03E+07	2.12E+07	2013364	1645477	720610.7	907981.8	4568028	334938.3	53714.68	42690.59	230931.6	57531.19	3.79E+07	152438.5	1.33E+07	765646.3	2.65E+08	5917993	71176.54	5890967	3.71E+07	97417.3	2837751	3.66E+07	3.71E+07	2016889	1.07E+09	3.59E+08	207943.6	323537.1	480957.6	7189761	17497.82	695798.4	1171064	1.19E+07	268634.1	103471.6	5791904	1168344	8453.885	1013175	107323.4	386697.6	2.91E+09	5691078	393312.3	1266309	856938.3	9481526	2.58E+07	14428.88	1106998	1335215	2237808	3.12E+08	4410721	5.91E+07	907981.8	1995595	376823.3	3269856	2.91E+09	131759	2531019	3.29E+07	1015902	579741	2176988	456601.6	2.26E+07	2407173	1075735	4.52E+08	30684.58	147459.5	751249.3	1.00E+07	2120315	886477	7189761	47232.25	522420	916634.9	1139108	97970.24	3.13E+07	2582250	3.91E+07	3.29E+07	1.42E+07	9001542	1372104
48H-KNO3-R4	48H	57153.87	0	41329.27	38368.51	138416.4	183606.9	106520.6	4.19E+07	3972385	109662.6	11928.04	452484.9	142670	78936.64	704.9943	26421.6	5729.633	16254.22	3972385	5871.353	73590.41	913299.5	734274.4	6241262	19913.54	8.80E+08	0	44692.35	1.46E+07	1533881	8375.663	1555885	34078.43	452484.9	4435.795	1094240	0	11600.44	6915.76	4246606	635116.8	1.72E+08	5.81E+08	199898.3	1138865	716.0572	0	8933.092	5674195	12425.33	77796.85	22009.65	12126.81	15337.1	2329.888	1738.401	365.8755	1436.852	3269.606	9043.537	17911.89	1180902	53724.87	0	235250.8	3665549	9274.854	253609.8	4.58E+07	4976703	0	172779.3	3032225	762047.3	5239.199	529340.6	653913.4	507078.1	3.79E+07	1.91E+07	1.12E+07	75343.62	48028.2	4.27E+08	8056868	1410106	245174.5	3341.578	1118885	1425253	4805632	8659.212	20966.04	444165.9	229647.1	76862.08	16640.21	26423.93	7912268	31416.55	58354.05	1762.451	27477.67	113284.1	29633.8	2315.356	186382.3	9.81E+07	26446.56	1523981	0	2.21E+07	269144.8	70028.04	493243.9	4806436	41122.78	68317.2	361.7081	9396200	1517353	94136.92	1071187	1019726	2734.62	787.3958	74461.35	49875.05	865480.5	1390079	11026.61	28058.1	11699.49	2047177	4.58E+07	170336.5	1779169	1355872	1788.922	1.74E+08	40115.06	3414350	4.19E+07	3504753	338735.8	20915.57	865480.5	108789.1	43196.57	6.38E+07	590398.1	1053805	1215866	298716.2	21056.04	1560.882	7435.428	5.81E+08	3380.963	119655.3	470843.1	1873835	1337152	470843.1	1.46E+07	76904.67	7828.224	860376.4	21885.9	255980.3	75228.74	6694638	4.49E+07	6.38E+07	375719.1	610961.3	1046244
48H-KNO3-R5	48H	150257.4	6.26E+08	578553.1	293501.3	4.30E+07	196296.4	3521.289	5.42E+07	0	9100145	2.48E+07	7.22E+07	1.80E+07	97323.43	599551.4	83712.8	107563.7	2083824	2.76E+07	3584.205	920537.9	3881041	1373610	1.10E+07	3138629	6.26E+08	6.20E+08	1794550	3.17E+08	1.11E+07	32349.61	3109922	1243082	7.24E+07	727980.8	2381019	98018.59	3.23E+07	565745.6	2.95E+07	1.80E+07	2.09E+08	6.07E+08	237434.7	2591907	28573.97	3977697	603298.5	1.02E+08	1.46E+07	769411.9	4087077	281679.2	1987626	8788321	891388.4	31027.59	95816.7	3082938	1115111	2278826	3.39E+07	3.39E+07	1.01E+08	1313799	1635575	1209512	4455116	1.03E+08	7734433	3.69E+07	2722631	5355055	2382631	282945.7	535344.9	1791436	8.56E+07	2083913	1680208	1.79E+07	3.10E+07	551391.9	1.96E+08	1.46E+07	4.91E+07	8.96E+07	1.15E+07	1588650	5.42E+07	5564841	130952.2	113994.8	1263755	434239.4	3629.869	2.06E+07	0	2.60E+07	2388286	3.50E+08	3656502	360849.6	5627269	8.96E+07	1491.208	2.34E+08	1.55E+08	8.94E+07	1.21E+08	8.12E+08	4.86E+08	41448.03	423996	321780.5	5736341	3776.47	5053969	17618.34	522937.6	183685.6	143346	1.19E+07	3638146	122694.5	1659507	423727.3	8603143	3.96E+09	1832228	1390769	3280780	939239	1.81E+07	1.03E+08	96965.45	183255.7	1998208	3923449	1.46E+07	5935658	1098341	4.87E+07	987014.6	52238.92	1002045	3.96E+09	84081.85	6017923	1.17E+08	1031802	272472.7	807896.4	565411.9	2373377	2144705	1.12E+07	6.07E+08	287606.3	202534.6	162646.9	1897928	6678381	1951561	3.17E+08	25148.57	4249427	1158593	1.76E+07	222643.1	4.52E+07	9666160	2.24E+07	1.17E+08	8.55E+07	5105757	2604067
48H-UKNO3-R1	48H+U	106785.2	6.95E+08	4267024	292278	2.68E+07	228254.4	2.47E+07	2.13E+07	1.26E+07	5955010	2.58E+07	6.96E+07	1.00E+07	485652.5	115377	73545.98	105051.5	843395	1.13E+07	1321841	630176.8	2512910	1431866	1.21E+07	0	6.95E+08	6.89E+08	1506465	2.64E+08	1.19E+07	102603.2	472434.9	1206301	2299094	1361365	1336711	3223100	5839097	356128.9	1848228	7105603	4.23E+08	6.34E+08	247544.6	2.20E+07	1296.949	2881048	1321841	5.73E+07	6187495	877804.3	4462384	367690.5	2035751	0	939150.9	61191.52	102569.7	3087143	1770204	115050	3.01E+07	0	7.38E+07	1278869	850526.4	1204570	5056776	7.59E+07	8126250	3.93E+07	1377982	5337516	165690.9	165611.3	454086.9	1426064	5.58E+07	2534819	1649503	47167.85	2.48E+07	493642.7	2.19E+08	1.64E+07	2.58E+07	5.53E+07	4648341	6820570	5.10E+07	5834276	174873.1	1495253	1854859	463847.9	27696.02	2.45E+07	289535.3	1.91E+07	1501803	3.88E+08	1.37E+07	300256.6	1.29E+07	5.52E+07	35836.52	6572781	1.38E+08	5.53E+07	1.62E+07	7.63E+08	4.27E+08	290722.9	235625.7	281555.9	9581893	106785.2	4621660	196500.7	676872.6	1658957	153661.7	1.08E+07	2881962	93841.62	1829584	95229.8	7305297	2.93E+09	1805671	1163664	3223744	856631.6	1.80E+07	7.59E+07	52406.67	546088.8	2049922	5519014	3.64E+08	3401291	843568.3	4.05E+07	1722981	68723.46	1540651	2.93E+09	102314.3	3252705	1.24E+08	1207054	493384.1	781666.8	284243.7	2016399	3639968	1.37E+07	6.34E+08	747502.3	218625.9	2706190	1400946	6820570	2706190	2.64E+08	65951.66	3926128	754754.4	1.40E+07	6764.375	2.91E+07	1.03E+07	3.39E+07	1.24E+08	5.79E+07	5244602	1852204
48h-UKNO3-R3	48H+U	160771.9	0	462133.8	1286357	0	97086.41	2.18E+07	1.82E+08	3.42E+07	1994855	2.98E+07	7.22E+07	1.80E+07	287300.5	1624266	62567.28	31819.16	366036	1.94E+07	141520.1	1709966	7535075	1313310	0	3.84E+07	0	0	1296364	3.67E+08	8954019	79289.39	579417.7	973217.4	7.22E+07	226719.7	1894203	2420206	4.30E+07	1621863	7493876	1.48E+07	0	8.82E+08	0	1.98E+07	2634.204	138753.7	1470843	1.06E+08	5887213	940931.4	4955357	686567.9	1541443	6460178	676515.4	41218.64	118288.6	3689964	1895618	2503615	1.70E+07	1.37E+08	1.82E+08	146355.8	549107	15775.11	5414159	1.31E+08	3157052	2.50E+07	1001411	6011134	1408599	763306.6	1821836	468213.7	4.91E+07	2461510	2145423	8160326	1.58E+07	98811.87	0	0	3.00E+07	7.52E+07	1.29E+07	7538074	6821170	6670617	170362.2	860224.5	1236998	257601.6	4749.807	9250497	659214.8	1.01E+08	2323889	3.90E+08	27027.47	102704.8	1.55E+07	7.52E+07	17811.45	1.03E+07	1.08E+08	7.52E+07	6.26E+08	0	3.45E+08	164255.7	237712.9	384168.2	7657488	158349.5	3885146	7744.331	232057.8	89856.19	198237.9	1.04E+07	3211546	130568.8	1656086	208709.5	1.22E+07	2.98E+09	1645657	1384380	2332447	814613.9	9863775	1.62E+08	21221.42	75879.52	1404181	1.04E+07	6.89E+07	3.81E+07	0	6821170	806747.3	158786.3	9250497	2.98E+09	85614.89	9161974	8.15E+07	993668.7	152218.6	380718.7	694799.6	6.02E+07	1001594	3.55E+07	8.85E+08	19556.44	144818.1	2477323	1518605	7538074	2247414	3.67E+08	33872.2	3037652	40163.27	0	218579	3.36E+07	859209.8	0	8.15E+07	4.91E+07	2.95E+07	2762618
48H-UKNO3-R4	48H+U	8841.444	9.32E+08	792539.1	266664.7	7063744	198735.2	2966537	9.28E+07	1.24E+07	1745125	3564264	4.50E+07	4195612	469062.8	98279.24	56586.97	381037.5	497655.1	1.11E+07	31268.81	1017385	2267826	319918.8	2712439	126652.8	9.32E+08	9.32E+08	260757.7	7.65E+07	2670757	62571.25	1390753	1752460	4.50E+07	364540.9	1448803	3711403	8178071	729992.3	1671430	4195612	2.56E+08	5.80E+08	265421.5	1.31E+07	1190.272	1613710	2194761	2.84E+07	2680295	631513	2443802	410522.8	0	5027194	804159.4	83610.64	177558.5	2954416	996327.9	1491238	1.30E+07	1.30E+07	7.63E+07	983122.3	860528.3	328363.3	3565709	3.16E+07	1.17E+07	2.29E+07	169975.3	4572400	3967157	72615.3	649553.8	1260622	1.14E+07	1410441	868895.4	9354582	1.71E+07	309266.1	3.51E+08	7.75E+07	1.72E+07	2.35E+07	6581930	1011443	3461067	7945189	172312.7	81653.13	1404418	380491.6	4189.423	1.70E+07	121884.6	3.35E+07	1.88E+07	3.10E+08	5372808	129622	7163922	2.35E+07	37133	7.42E+07	1.36E+07	2.36E+07	1.11E+07	7.79E+08	4.76E+08	351653.9	229695.6	445543	6981007	157401.2	364019.8	234493.8	1.84E+07	4704497	136381.5	1.02E+07	1969955	37830.67	1425553	194632.3	994222.8	2.13E+09	8553015	845656.5	1609305	958080.3	1.30E+07	0	329569.5	2686747	2060628	1559087	2.23E+08	3496134	3.40E+07	3461067	367299.4	590497.2	1.71E+07	2.13E+09	95963.92	2504544	1.22E+08	1130857	1118256	1278533	238144.5	1484828	2089159	5372808	5.80E+08	9288.807	189499.5	1295158	1.39E+07	3312848	1295158	7.65E+07	123988.7	429846.7	1778060	5458459	126045.4	2.62E+07	3080071	2.11E+07	1.22E+08	428991.3	4410605	2210805
48H-UKNO3-R5	48H+U	107361.2	9.43E+08	516703.6	289668.5	384656.9	13385.31	9396536	6.52E+07	1.89E+07	463492.8	3671177	935817.1	3538026	367340.9	121953.2	62538.98	280907.2	356866.7	1.88E+07	871554.8	1154798	1965468	486914.9	0	0	9.43E+08	9.43E+08	332187.9	1.39E+08	1696118	39490.8	3214957	5059917	3.79E+07	720347.9	3883150	2464541	0	206523.5	1428645	3538026	2.47E+08	5.21E+08	222020.5	2365864	42847.59	1766944	871554.8	4.14E+07	1967641	550501.8	1901963	307999.6	3951028	4211361	608275.8	10960.85	109200.9	825538.6	792382.8	1046912	1.37E+07	1.37E+07	6.58E+07	799681.4	402618.1	251374.6	3997899	3.32E+07	5460279	2.34E+07	619868.6	3254989	1759327	56093.89	593935.1	1190578	1.78E+07	1046912	637729.5	6403030	1.31E+07	241249.3	4.75E+08	6.34E+07	1.44E+07	1133512	2300827	598980.6	6.52E+07	6429701	160545.8	66401.46	1118319	198647.5	4780.724	3.65E+07	1141672	2.25E+07	889514.4	0	5315252	39660.8	6088585	3.07E+07	110126.1	9.53E+07	4.08E+07	3.07E+07	1534784	8.96E+08	4.63E+08	247246.5	236145.5	526638.9	5262145	105625.3	774442.5	1826959	1.37E+07	3917302	184734.7	8296346	1407894	12715.41	1189261	79762.87	585283.6	2.33E+09	4587455	573989.3	62848.95	838391.9	1.06E+07	3.32E+07	372068.2	979041.1	1436414	1813940	3541649	1821456	3.19E+07	5705137	312131.9	412102.1	3.76E+07	2.33E+09	263516.6	1818196	807239.3	1121143	844552.3	0	268957.8	1451400	0	5315252	5.21E+08	62153.61	148631.2	1044876	1.11E+07	2439582	1044876	1.39E+08	95928.55	752714.1	1260636	5494489	184737.7	2.10E+07	1.61E+07	4.99E+07	7.60E+07	704178.6	3844058	1916066
48h-UKNO3-R2	48H+U	131522.7	5.37E+08	597969	368951.9	2.17E+07	9382.176	2.51E+07	8.22E+07	2.10E+07	4196434	3.33E+07	7.00E+07	1.28E+07	196623.9	84018.09	95933.49	142631.1	388548.7	2.10E+07	114451.4	629471	5294754	1569376	1.55E+07	2494101	5.37E+08	5.21E+08	1069620	4.18E+08	1.17E+07	100089.6	3243516	1178445	7.00E+07	1390954	1897528	3385948	3.92E+07	176899.1	1697775	1.10E+07	7.59E+08	8.60E+08	304526.1	2.37E+07	4642.044	2923617	1745415	1.79E+08	1.21E+07	928055.8	5031874	473187.5	2144801	5832033	2182604	25379.55	118948.2	3526074	1863974	1697179	2.66E+07	2.66E+07	1.09E+08	720133.9	558846.7	1250730	5369476	1.08E+08	6311398	4.69E+07	1043925	6721335	2170971	255262.6	534963.3	2271366	6.18E+07	1541185	286955.4	3342401	2.55E+07	404365.2	7.59E+08	4.32E+07	2.46E+07	4.43E+07	1.46E+07	6482124	8.22E+07	7423445	16803.04	1627664	1403258	225097.2	7685.965	7418589	1043977	3.22E+07	2073692	4.03E+08	2.07E+07	451291.9	1.39E+07	4.40E+07	153931.1	4048393	1.39E+08	4.43E+07	3390111	7.69E+08	4.66E+08	475211.8	272915.8	442811	6088122	128496.8	5134394	13993.19	840635.8	2417931	158488.3	1.14E+07	3979041	164095.5	2082943	108499	7418064	3.15E+09	3467344	1229564	3246025	1083389	2.37E+07	1.08E+08	20576.73	158189	2148631	4552594	4.21E+08	3541555	7.72E+07	8.20E+07	1072402	113285.4	2.33E+07	3.15E+09	253772	5450781	1.51E+08	1483031	355301.2	1072949	313585.1	3.41E+08	6381229	2.07E+07	8.60E+08	276669.5	225358.7	0	1517817	6482124	1988705	4.18E+08	599811.3	4611525	701353.6	1.52E+07	195973	3.05E+07	921428.1	4.18E+07	1.51E+08	6.19E+07	4667396	923442.3
6H-KNO3-R1	6H	98587.3	0	478309.6	1784818	3329864	425058.3	1.58E+07	6.92E+07	3.80E+07	1748485	9159398	6.51E+07	2.47E+07	1433639	73844.52	7952.119	110812.6	2996462	3.80E+07	1945269	1209262	1462312	969624.5	1.89E+07	3.20E+07	0	0	1111749	2.71E+08	1.15E+07	105602.8	2515903	997560.8	6.51E+07	1687158	5881944	2949747	2.67E+07	178568.5	73130.05	2.47E+07	3.94E+08	7.31E+08	254899.7	1990340	37150.93	4033831	1944410	4.51E+07	853683.5	748393.6	2405926	385731.9	2154813	7001925	884777.4	14345.33	148674.9	2404921	1210696	2227567	0	2.12E+07	8.85E+07	833522.8	1166856	964249.5	4906863	5.56E+07	7260272	43011.25	0	98645.22	2589093	531351.6	1438406	1137669	2.69E+07	2227567	2.35E+07	1.95E+07	2.19E+07	494028.6	3.88E+08	3.07E+07	5169834	6.00E+07	1677966	7006175	6.92E+07	5551548	431685.6	175821	1252319	170700.8	61002.35	5.06E+07	530499	3.22E+07	587593.4	3.80E+08	1.49E+07	105496.2	7.34E+07	6.00E+07	125493.4	6131566	0	6.00E+07	2.01E+07	9.40E+08	5.95E+08	17532.36	393103.8	540086.3	1.38E+07	98587.3	167318.1	44299.57	930737.4	1677139	128442.8	9102931	1459980	110679.6	1025606	217583.9	1494606	3.80E+09	5356385	1247985	2367479	916697.6	8.86E+07	1.94E+07	59880.41	979962.3	1848728	3372493	1.78E+08	3.20E+07	8.17E+07	4318341	1799228	57154.03	1.00E+07	3.80E+09	276981.7	3317636	9590732	946572.3	543287.4	1189083	389027.1	1156815	9209179	1.49E+07	7.31E+08	1044721	133351.3	4826726	1911614	5357069	4374.661	1.39E+07	70162.33	4190088	838207	1.36E+07	823902.8	4.38E+07	483950.6	3.17E+07	3460292	2.69E+07	2.78E+07	1481218
6H-KNO3-R2	6H	118110.6	5.89E+08	424911.1	889807.9	3.86E+07	530157.6	1.24E+07	1409460	3.11E+07	3728365	2.99E+07	7.75E+07	3.25E+07	1683585	388732.2	116785	141988.5	3312030	3.11E+07	446213.7	947739.5	4140547	1620866	1.24E+07	0	5.89E+08	0	1070669	4.45E+08	1.29E+07	52602.25	686355.9	1240669	7.80E+07	768296.9	2400050	3389517	4.15E+07	166805.1	3302772	3.25E+07	4.13E+08	6.23E+08	256621	1.03E+08	1680.301	3724055	2332169	1.60E+08	1074256	947827.2	2769920	452435.5	2083108	0	519662.8	21002.52	91553.38	2580182	1417412	2766019	1.19E+07	4.77E+07	6.99E+07	1585993	13322.77	1353369	5583997	9.15E+07	7995476	3.92E+07	2794989	6297266	2876027	393495.7	424173.1	2360000	1.13E+08	2539380	1183649	7588243	3.30E+07	870586.6	3.33E+08	3.68E+07	5.50E+07	1.66E+08	1.63E+07	1685770	1.06E+07	5603041	105541.4	1510491	104795.1	500691.2	33580.11	2.62E+07	675154.9	1.32E+08	1165739	4.14E+08	5816.062	993429.3	9.74E+07	1.66E+08	3658.846	3380117	1.17E+08	1.66E+08	5.80E+08	1.03E+07	4.01E+08	343847.3	389697.1	524032.2	6699525	115327.8	233262.5	92428.14	861524.5	1878286	150949.6	8829879	2043162	113087.8	1862426	256720.4	8178641	4.06E+09	3716924	1489269	2759635	1014702	1.03E+08	195868.6	9876.014	1287073	2136373	5105013	2.99E+08	5021407	8.60E+07	6.99E+07	1205641	23751.82	2.62E+07	0	235922.1	4513283	1.37E+08	1265422	449246.4	881568.7	565862.3	1736079	4075075	2.35E+07	6.19E+08	429077.4	265405.2	4200892	2066394	7077860	4014612	4.45E+08	33580.11	4558432	1266444	2.10E+07	237759.5	5.01E+07	1.35E+07	2.51E+07	1.09E+07	1.13E+08	5598398	1997040
6H-KNO3-R3	6H	83677.92	0	494794.3	1319467	3463971	291572.6	3.19E+07	4.37E+07	3.29E+07	5389748	9777965	6.49E+07	2.25E+07	1285407	41180.1	19071.53	94080.83	2489102	3.29E+07	336573.3	787611.3	2840692	965477.8	2.15E+07	2.14E+07	0	0	793349.8	2.24E+08	1.04E+07	162244.6	1.31E+07	1001416	6.49E+07	1514802	2028103	9587.527	2.30E+07	174858.3	2265717	2.25E+07	6.88E+08	6.58E+08	249930.2	8.67E+07	45489.91	3800979	1297532	6.25E+07	8598558	817375.6	2183946	372931.1	2219077	6982060	700819.3	41778.25	134253.7	2335133	1139360	1971098	1.95E+07	1.95E+07	4.37E+07	577016.3	786704.1	12255.3	4082123	5.55E+07	6713101	15171.82	2697062	565819.3	2529020	205313.8	1064399	1314207	2.25E+07	1971098	2.57E+07	2.01E+07	2.12E+07	354236.8	6.61E+08	2.56E+07	2.74E+07	5.58E+07	1209384	103259.5	4.37E+07	4950419	326708.4	1325615	144573.9	329587.1	57895.06	4.17E+07	632173.8	2.39E+07	1390721	3.77E+08	1.25E+07	166819	3.43E+07	4555939	101876.2	4810569	7.30E+08	5.56E+07	1.30E+07	6.36E+08	6.37E+08	221821.9	417446	442098.3	1.11E+07	5292.242	4648278	33950.95	740072.7	1562185	141111	8815725	1530106	74713.63	891694	150661.6	1312448	3.69E+09	2559830	1229207	2433557	978710.6	8.67E+07	1.82E+07	21775.66	658512.2	1767196	2929826	3.52E+08	1.44E+07	8.33E+07	3800890	2187513	85944.12	4.20E+07	3.69E+09	179052.9	3011441	2.47E+07	0	622239.3	1099589	25113.47	1469730	9762324	1.30E+07	6.58E+08	1104066	152228.2	3665752	1777152	5583995	3714983	2.24E+08	74406.2	3975393	919211.4	1.28E+07	209036.2	4.33E+07	2204621	5.51E+07	2.47E+07	2.24E+07	1.43E+07	823969.1
